Attaching 2 probes...
start: 186573363314582
domain: WRITE, depth: 1, timestamp: 186992896010255
domain: WRITE, depth: 2, timestamp: 186993000008991
domain: WRITE, depth: 1, timestamp: 186993416011048
domain: WRITE, depth: 2, timestamp: 186993520011436
domain: WRITE, depth: 1, timestamp: 186993728011888
domain: WRITE, depth: 2, timestamp: 186993832010489
domain: WRITE, depth: 1, timestamp: 186994040012070
domain: WRITE, depth: 2, timestamp: 186994144012104
domain: WRITE, depth: 1, timestamp: 186994772008813
domain: WRITE, depth: 2, timestamp: 186994876007500
domain: WRITE, depth: 1, timestamp: 186995604011303
domain: WRITE, depth: 2, timestamp: 186995708010642
domain: WRITE, depth: 1, timestamp: 186996228008959
domain: WRITE, depth: 2, timestamp: 186996332011669
domain: WRITE, depth: 1, timestamp: 186996540010851
domain: WRITE, depth: 2, timestamp: 186996644013109
domain: WRITE, depth: 1, timestamp: 186996852010898
domain: WRITE, depth: 2, timestamp: 186996956008491
domain: WRITE, depth: 1, timestamp: 186997996011506
domain: WRITE, depth: 2, timestamp: 186998100012200
domain: WRITE, depth: 1, timestamp: 186998936012567
domain: WRITE, depth: 2, timestamp: 186999040008814
domain: WRITE, depth: 1, timestamp: 186999248012781
domain: WRITE, depth: 2, timestamp: 186999352011819
domain: WRITE, depth: 1, timestamp: 187000912013386
domain: WRITE, depth: 2, timestamp: 187001016010181
domain: WRITE, depth: 1, timestamp: 187003728011335
domain: WRITE, depth: 2, timestamp: 187003832009395
domain: WRITE, depth: 1, timestamp: 187004144012356
domain: WRITE, depth: 2, timestamp: 187004248010988
domain: WRITE, depth: 4, timestamp: 187006124012542
domain: WRITE, depth: 3, timestamp: 187006228009735
domain: WRITE, depth: 2, timestamp: 187006332009796
domain: WRITE, depth: 1, timestamp: 187006436012805
domain: WRITE, depth: 2, timestamp: 187006540012970
domain: WRITE, depth: 1, timestamp: 187006852009350
domain: WRITE, depth: 2, timestamp: 187006956011654
domain: WRITE, depth: 1, timestamp: 187007268012136
domain: WRITE, depth: 2, timestamp: 187007372008943
domain: WRITE, depth: 1, timestamp: 187007792012891
domain: WRITE, depth: 2, timestamp: 187007896009389
domain: WRITE, depth: 1, timestamp: 187008104010267
domain: WRITE, depth: 2, timestamp: 187008208011856
domain: WRITE, depth: 1, timestamp: 187008416008998
domain: WRITE, depth: 2, timestamp: 187008520013593
domain: WRITE, depth: 1, timestamp: 187008728011330
domain: WRITE, depth: 2, timestamp: 187008832011246
domain: WRITE, depth: 1, timestamp: 187009040011239
domain: WRITE, depth: 2, timestamp: 187009144009850
domain: WRITE, depth: 1, timestamp: 187009560012884
domain: WRITE, depth: 2, timestamp: 187009664011905
domain: WRITE, depth: 1, timestamp: 187009872010630
domain: WRITE, depth: 2, timestamp: 187009976011887
domain: WRITE, depth: 1, timestamp: 187010184010953
domain: WRITE, depth: 2, timestamp: 187010288009063
domain: WRITE, depth: 1, timestamp: 187010496008721
domain: WRITE, depth: 2, timestamp: 187010600011608
domain: WRITE, depth: 1, timestamp: 187010912009587
domain: WRITE, depth: 2, timestamp: 187011016012295
domain: WRITE, depth: 1, timestamp: 187011224011774
domain: WRITE, depth: 2, timestamp: 187011328008755
domain: WRITE, depth: 1, timestamp: 187011536011678
domain: WRITE, depth: 2, timestamp: 187011640008664
domain: WRITE, depth: 1, timestamp: 187011848008948
domain: WRITE, depth: 2, timestamp: 187011952011390
domain: WRITE, depth: 1, timestamp: 187012164010079
domain: WRITE, depth: 2, timestamp: 187012268013350
domain: WRITE, depth: 1, timestamp: 187012480008824
domain: WRITE, depth: 2, timestamp: 187012584010774
domain: WRITE, depth: 1, timestamp: 187012792008756
domain: WRITE, depth: 2, timestamp: 187012900009735
domain: WRITE, depth: 1, timestamp: 187014256008815
domain: WRITE, depth: 2, timestamp: 187014360010082
domain: WRITE, depth: 1, timestamp: 187015608011845
domain: WRITE, depth: 2, timestamp: 187015712012311
domain: WRITE, depth: 1, timestamp: 187016232008481
domain: WRITE, depth: 2, timestamp: 187016336013243
domain: WRITE, depth: 1, timestamp: 187016856011880
domain: WRITE, depth: 2, timestamp: 187016960011684
domain: WRITE, depth: 1, timestamp: 187017272011299
domain: WRITE, depth: 2, timestamp: 187017376008394
domain: WRITE, depth: 1, timestamp: 187017584008175
domain: WRITE, depth: 2, timestamp: 187017688011450
domain: WRITE, depth: 1, timestamp: 187018208010428
domain: WRITE, depth: 2, timestamp: 187018312012790
domain: WRITE, depth: 1, timestamp: 187018832011239
domain: WRITE, depth: 2, timestamp: 187018936011852
domain: WRITE, depth: 1, timestamp: 187019144011039
domain: WRITE, depth: 2, timestamp: 187019248008425
domain: WRITE, depth: 1, timestamp: 187019456010996
domain: WRITE, depth: 2, timestamp: 187019560008977
domain: WRITE, depth: 1, timestamp: 187019872011062
domain: WRITE, depth: 2, timestamp: 187019976010364
domain: WRITE, depth: 1, timestamp: 187020396008604
domain: WRITE, depth: 2, timestamp: 187020500010300
domain: WRITE, depth: 1, timestamp: 187020708009587
domain: WRITE, depth: 2, timestamp: 187020816008765
domain: WRITE, depth: 1, timestamp: 187021128010968
domain: WRITE, depth: 2, timestamp: 187021232011398
domain: WRITE, depth: 1, timestamp: 187021444008170
domain: WRITE, depth: 2, timestamp: 187021548007497
domain: WRITE, depth: 1, timestamp: 187021756007792
domain: WRITE, depth: 2, timestamp: 187021860009661
domain: WRITE, depth: 1, timestamp: 187022172007945
domain: WRITE, depth: 2, timestamp: 187022276011772
domain: WRITE, depth: 1, timestamp: 187022488011951
domain: WRITE, depth: 2, timestamp: 187022596009148
domain: WRITE, depth: 1, timestamp: 187022908009260
domain: WRITE, depth: 2, timestamp: 187023012009219
domain: WRITE, depth: 1, timestamp: 187023220008668
domain: WRITE, depth: 2, timestamp: 187023324009952
domain: WRITE, depth: 1, timestamp: 187023532010686
domain: WRITE, depth: 2, timestamp: 187023640008222
domain: WRITE, depth: 1, timestamp: 187023848009619
domain: WRITE, depth: 2, timestamp: 187023952011586
domain: WRITE, depth: 1, timestamp: 187024160011204
domain: WRITE, depth: 2, timestamp: 187024264008143
domain: WRITE, depth: 1, timestamp: 187024472013303
domain: WRITE, depth: 2, timestamp: 187024576010976
domain: WRITE, depth: 1, timestamp: 187024784012231
domain: WRITE, depth: 2, timestamp: 187024888012153
domain: WRITE, depth: 1, timestamp: 187025096010571
domain: WRITE, depth: 2, timestamp: 187025200008592
domain: WRITE, depth: 1, timestamp: 187025512009941
domain: WRITE, depth: 2, timestamp: 187025616011945
domain: WRITE, depth: 1, timestamp: 187025824008807
domain: WRITE, depth: 2, timestamp: 187025928011460
domain: WRITE, depth: 1, timestamp: 187026136011058
domain: WRITE, depth: 2, timestamp: 187026240008874
domain: WRITE, depth: 1, timestamp: 187026448010536
domain: WRITE, depth: 2, timestamp: 187026552011675
domain: WRITE, depth: 1, timestamp: 187026760010816
domain: WRITE, depth: 2, timestamp: 187026864011592
domain: WRITE, depth: 1, timestamp: 187027076010698
domain: WRITE, depth: 2, timestamp: 187027180008903
domain: WRITE, depth: 1, timestamp: 187027388008673
domain: WRITE, depth: 2, timestamp: 187027492011488
domain: WRITE, depth: 1, timestamp: 187027700011043
domain: WRITE, depth: 2, timestamp: 187027804008438
domain: WRITE, depth: 1, timestamp: 187028012010453
domain: WRITE, depth: 2, timestamp: 187028116008797
domain: WRITE, depth: 1, timestamp: 187028324012094
domain: WRITE, depth: 2, timestamp: 187028428012105
domain: WRITE, depth: 1, timestamp: 187028636012087
domain: WRITE, depth: 2, timestamp: 187028740011784
domain: WRITE, depth: 1, timestamp: 187029156012877
domain: WRITE, depth: 2, timestamp: 187029260011417
domain: WRITE, depth: 1, timestamp: 187029572011095
domain: WRITE, depth: 2, timestamp: 187029676008902
domain: WRITE, depth: 1, timestamp: 187029884010853
domain: WRITE, depth: 2, timestamp: 187029988008454
domain: WRITE, depth: 1, timestamp: 187030196008452
domain: WRITE, depth: 2, timestamp: 187030304007860
domain: WRITE, depth: 1, timestamp: 187030512007914
domain: WRITE, depth: 2, timestamp: 187030620011629
domain: WRITE, depth: 1, timestamp: 187030932011234
domain: WRITE, depth: 2, timestamp: 187031036011949
domain: WRITE, depth: 1, timestamp: 187031244009180
domain: WRITE, depth: 2, timestamp: 187031348008183
domain: WRITE, depth: 1, timestamp: 187031664008353
domain: WRITE, depth: 2, timestamp: 187031772011546
domain: WRITE, depth: 1, timestamp: 187032084011659
domain: WRITE, depth: 2, timestamp: 187032188009708
domain: WRITE, depth: 1, timestamp: 187032396009478
domain: WRITE, depth: 2, timestamp: 187032500007714
domain: WRITE, depth: 1, timestamp: 187032816011225
domain: WRITE, depth: 2, timestamp: 187032920009593
